epoch,train_acc,train_cost,test_acc
648,0.6299,1.0872793,0.533
649,0.6499,1.0054332,0.56
650,0.5553,1.276768,0.4795
651,0.6291,1.0477568,0.538
652,0.5932,1.188834,0.491
653,0.6417,1.0265372,0.519
654,0.674,0.95774806,0.567
655,0.6772,0.9384959,0.564
656,0.6536,0.9932077,0.542
657,0.6667,0.96946377,0.5535
658,0.6016,1.1414607,0.5055
659,0.6548,0.9785876,0.5385
660,0.6649,0.972783,0.55
661,0.6755,0.95179737,0.5485
662,0.6695,0.9644005,0.559
663,0.6707,0.9634668,0.5725
664,0.5319,1.3488705,0.472
665,0.6563,0.9948227,0.543
666,0.6522,0.9820113,0.545
667,0.6257,1.0519506,0.5315
668,0.6657,0.9526592,0.5625
669,0.6295,1.050882,0.515
670,0.6338,1.0397002,0.5265
671,0.681,0.93713367,0.5645
672,0.5853,1.1661619,0.4935
673,0.659,0.9718149,0.563
674,0.5561,1.2581426,0.469
675,0.6781,0.9453217,0.566
676,0.679,0.9340115,0.568
677,0.5554,1.3077261,0.4565
678,0.6664,0.98105294,0.552
679,0.6703,0.965206,0.562
680,0.6714,0.95612735,0.566
681,0.6131,1.0592374,0.551
682,0.6223,1.0508677,0.5265
683,0.6479,1.0282598,0.534
684,0.6724,0.9497007,0.5695
685,0.6638,0.96070313,0.5565
686,0.6348,1.0587262,0.528
687,0.6707,0.94513416,0.571
688,0.6051,1.1146708,0.533
689,0.6611,0.9744954,0.5335
690,0.6221,1.0638938,0.509
691,0.6587,0.96108085,0.5525
692,0.6883,0.919524,0.5715
693,0.5692,1.1990671,0.498
694,0.6637,0.9763545,0.5625
695,0.6506,0.98755157,0.5505
696,0.6478,0.9874447,0.53
697,0.4857,1.439187,0.4265
698,0.689,0.9110924,0.555
699,0.6936,0.91026133,0.5735
700,0.6643,0.97122234,0.5355
701,0.6042,1.1076916,0.485
702,0.6677,0.96133673,0.5405
703,0.6372,1.00831,0.5445
704,0.659,0.9735959,0.567
705,0.6905,0.9035661,0.58
706,0.685,0.92553896,0.556
707,0.6216,1.0691583,0.524
708,0.6692,0.93734133,0.552
709,0.6772,0.93325996,0.5645
710,0.6081,1.1397586,0.489
711,0.6691,0.9543399,0.57
712,0.6793,0.93078035,0.5495
713,0.6863,0.9336742,0.556
714,0.6463,0.984993,0.53
715,0.6302,1.0273997,0.545
716,0.5861,1.1909437,0.4665
717,0.6597,0.9889187,0.5345
718,0.6672,0.94278896,0.555
719,0.6562,0.9901137,0.534
720,0.6955,0.8847317,0.5705
