type,epoch,test accuracy,entropy_cost
Char RNN 2 Layer LSTM,27,0.56714284,1.012141
Char RNN 2 Layer LSTM,28,0.5857143,0.9722869
Char RNN 2 Layer LSTM,29,0.5942857,0.95080215
Char RNN 2 Layer LSTM,30,0.58,0.9103151
Char RNN 2 Layer LSTM,31,0.61285716,0.85809475
Char RNN 2 Layer LSTM,32,0.62285715,0.8249576
Char RNN 2 Layer LSTM,33,0.61,0.81898105
Char RNN 2 Layer LSTM,34,0.62857145,0.81013113
Char RNN 2 Layer LSTM,35,0.62714285,0.8059724
Char RNN 2 Layer LSTM,36,0.62142855,0.7804401
Char RNN 2 Layer LSTM,37,0.6314286,0.72016513
Char RNN 2 Layer LSTM,38,0.6571429,0.7109603
Char RNN 2 Layer LSTM,39,0.6557143,0.674305
Char RNN 2 Layer LSTM,40,0.6742857,0.678481
Char RNN 2 Layer LSTM,41,0.64428574,0.6583455
Char RNN 2 Layer LSTM,42,0.67142856,0.6326397
Char RNN 2 Layer LSTM,43,0.67285717,0.6414396
Char RNN 2 Layer LSTM,44,0.67142856,0.6177313
Char RNN 2 Layer LSTM,45,0.6614286,0.5756881
Char RNN 2 Layer LSTM,46,0.66571426,0.56837785
Char RNN 2 Layer LSTM,47,0.6528571,0.632743
Char RNN 2 Layer LSTM,48,0.6557143,0.5990767
Char RNN 2 Layer LSTM,49,0.6842857,0.5572382
Char RNN 2 Layer LSTM,50,0.69142854,0.5102967
Char RNN 2 Layer LSTM,51,0.69857144,0.5008904
Char RNN 2 Layer LSTM,52,0.7,0.49335387
Char RNN 2 Layer LSTM,53,0.7014286,0.48262346
Char RNN 2 Layer LSTM,54,0.6857143,0.48457956
Char RNN 2 Layer LSTM,55,0.69,0.46370426
Char RNN 2 Layer LSTM,56,0.7,0.49172747
Char RNN 2 Layer LSTM,57,0.6942857,0.43946394
Char RNN 2 Layer LSTM,58,0.69714284,0.41759104
Char RNN 2 Layer LSTM,59,0.70285714,0.3915834
Char RNN 2 Layer LSTM,60,0.70714283,0.45290467
Char RNN 2 Layer LSTM,61,0.70857143,0.398426
Char RNN 2 Layer LSTM,62,0.7157143,0.397189
Char RNN 2 Layer LSTM,63,0.70428574,0.41364178
Char RNN 2 Layer LSTM,64,0.6957143,0.3495607
Char RNN 2 Layer LSTM,65,0.70714283,0.36925158
Char RNN 2 Layer LSTM,66,0.7,0.3973757
Char RNN 2 Layer LSTM,67,0.7171429,0.3307127
Char RNN 2 Layer LSTM,68,0.7157143,0.3372943
Char RNN 2 Layer LSTM,69,0.7271429,0.2880404
Char RNN 2 Layer LSTM,70,0.72571427,0.27277356
Char RNN 2 Layer LSTM,71,0.73142856,0.36041984
Char RNN 2 Layer LSTM,72,0.7285714,0.32368863
Char RNN 2 Layer LSTM,73,0.7385714,0.29599506
Char RNN 2 Layer LSTM,74,0.74285716,0.252498
Char RNN 2 Layer LSTM,75,0.74714285,0.23704034
Char RNN 2 Layer LSTM,76,0.7185714,0.24881354
Char RNN 2 Layer LSTM,77,0.73714286,0.23887616
Char RNN 2 Layer LSTM,78,0.7271429,0.22404267
Char RNN 2 Layer LSTM,79,0.72571427,0.21072787
Char RNN 2 Layer LSTM,80,0.7385714,0.18606874
Char RNN 2 Layer LSTM,81,0.73142856,0.17949598
Char RNN 2 Layer LSTM,82,0.7185714,0.31896448
Char RNN 2 Layer LSTM,83,0.73,0.22311862
Char RNN 2 Layer LSTM,84,0.7271429,0.223453
Char RNN 2 Layer LSTM,85,0.72571427,0.18333897
Char RNN 2 Layer LSTM,86,0.72571427,0.19000432
Char RNN 2 Layer LSTM,87,0.7271429,0.17593898
Char RNN 2 Layer LSTM,88,0.7185714,0.18535337
Char RNN 2 Layer LSTM,89,0.73142856,0.22124769
Char RNN 2 Layer LSTM,90,0.7214286,0.14784692
Char RNN 2 Layer LSTM,91,0.73714286,0.14444317
Char RNN 2 Layer LSTM,92,0.71,0.22426842
Char RNN 2 Layer LSTM,93,0.71,0.17790109
Char RNN 2 Layer LSTM,94,0.7214286,0.15302092
Char RNN 2 Layer LSTM,95,0.7214286,0.15711811
Char RNN 2 Layer LSTM,96,0.7228571,0.20284629
Char RNN 2 Layer LSTM,97,0.7271429,0.15710548
Char RNN 2 Layer LSTM,98,0.7157143,0.13589196
Char RNN 2 Layer LSTM,99,0.73571426,0.13042942
Word RNN Vanilla,0,0.07,2.6499104
Word RNN Vanilla,1,0.071428575,2.6463075
Word RNN Vanilla,2,0.07285714,2.6463284
Word RNN Vanilla,3,0.074285716,2.6316402
Word RNN Vanilla,4,0.08,2.6543188
Word RNN Vanilla,5,0.071428575,2.6534204
Word RNN Vanilla,6,0.07,2.650415
Word RNN Vanilla,7,0.065714285,2.6304903
Word RNN Vanilla,8,0.08,2.5845294
Word RNN Vanilla,9,0.087142855,2.5039
Word RNN Vanilla,10,0.068571426,2.5429184
Word RNN Vanilla,11,0.06714286,2.519134
Word RNN Vanilla,12,0.07714286,2.6563208
Word RNN Vanilla,13,0.071428575,2.6415997
Word RNN Vanilla,14,0.07,2.643575
Word RNN Vanilla,15,0.087142855,2.6359606
Word RNN Vanilla,16,0.07857143,2.6234772
Word RNN Vanilla,17,0.057142857,2.4403567
Word RNN Vanilla,18,0.058571428,2.3216302
Word RNN Vanilla,19,0.061428573,2.2449696
Word RNN Vanilla,20,0.068571426,2.0869744
Word RNN Vanilla,21,0.061428573,2.0510337
Word RNN Vanilla,22,0.08285714,1.9378918
Word RNN Vanilla,23,0.074285716,1.8816483
Word RNN Vanilla,24,0.07857143,1.7438148
Word RNN Vanilla,25,0.07857143,1.7030891
Word RNN Vanilla,26,0.06428572,1.8377765
Word RNN Vanilla,27,0.07571428,1.6145623
Word RNN Vanilla,28,0.08142857,1.5383493
Word RNN Vanilla,29,0.08857143,1.4912618
Word RNN Vanilla,30,0.09142857,1.3947421
Word RNN Vanilla,31,0.09428571,1.5386044
Word RNN Vanilla,32,0.1,1.3104321
Word RNN Vanilla,33,0.1,1.390908
Word RNN Vanilla,34,0.071428575,1.5906507
Word RNN Vanilla,35,0.08571429,1.3811464
Word RNN Vanilla,36,0.10714286,1.2724907
Word RNN Vanilla,37,0.11,1.320239
Word RNN Vanilla,38,0.11,1.2387346
Word RNN Vanilla,39,0.08571429,1.3526427
Word RNN Vanilla,40,0.09714286,1.4324543
Word RNN Vanilla,41,0.087142855,1.3844334
Word RNN Vanilla,42,0.10142857,1.1796631
Word RNN Vanilla,43,0.09,1.286095
Word RNN Vanilla,44,0.09857143,1.2079234
Word RNN Vanilla,45,0.08857143,1.2879978
Word RNN Vanilla,46,0.092857145,1.237447
Word RNN Vanilla,47,0.07857143,1.2247415
Word RNN Vanilla,48,0.105714284,1.1843965
Word RNN Vanilla,49,0.09857143,1.0931882
Word RNN Vanilla,50,0.105714284,1.0676992
Word RNN Vanilla,51,0.09857143,1.0580252
Word RNN Vanilla,52,0.09714286,1.1304287
Word RNN Vanilla,53,0.105714284,1.0798408
Word RNN Vanilla,54,0.10142857,1.0946139
Word RNN Vanilla,55,0.111428574,1.0636809
Word RNN Vanilla,56,0.105714284,1.124372
Word RNN Vanilla,57,0.10285714,1.0163494
Word RNN Vanilla,58,0.1,1.0185803
Word RNN Vanilla,59,0.114285715,0.9948216
Word RNN Vanilla,60,0.10714286,0.99751824
Word RNN Vanilla,61,0.095714286,0.9775072
Word RNN Vanilla,62,0.09428571,1.130081
Word RNN Vanilla,63,0.08142857,1.2730038
Word RNN Vanilla,64,0.08,1.1532156
Word RNN Vanilla,65,0.09714286,1.203281
Word RNN Vanilla,66,0.09,1.2112205
Word RNN Vanilla,67,0.09142857,1.2299173
Word RNN Vanilla,68,0.087142855,1.1803628
Word RNN Vanilla,69,0.087142855,1.1074519
Word RNN Vanilla,70,0.10714286,1.0712454
Word RNN Vanilla,71,0.09142857,1.0763302
Word RNN Vanilla,72,0.10428572,1.0683683
Word RNN Vanilla,73,0.07,2.2298093
Word RNN Vanilla,74,0.08285714,2.049829
Word RNN Vanilla,75,0.08571429,2.7137082
Word RNN Vanilla,76,0.08,2.8126366
Word RNN Vanilla,77,0.07285714,2.6670222
Word RNN Vanilla,78,0.07285714,2.6545727
Word RNN Vanilla,79,0.07285714,2.653746
Word RNN Vanilla,80,0.07285714,2.6497273
Word RNN Vanilla,81,0.07285714,2.6517923
Word RNN Vanilla,82,0.07285714,2.6590035
Word RNN Vanilla,83,0.07285714,2.6472378
Word RNN Vanilla,84,0.07285714,2.6521156
Word RNN Vanilla,85,0.07285714,2.6623337
Word RNN Vanilla,86,0.07285714,2.6492333
Word RNN Vanilla,87,0.07285714,2.6445124
Word RNN Vanilla,88,0.07285714,2.6534452
Word RNN Vanilla,89,0.07285714,2.6561925
Word RNN Vanilla,90,0.071428575,2.646066
Word RNN Vanilla,91,0.07285714,2.6457527
Word RNN Vanilla,92,0.07285714,2.652885
Word RNN Vanilla,93,0.07285714,2.6435382
Word RNN Vanilla,94,0.071428575,2.6573677
Word RNN Vanilla,95,0.07285714,2.658545
Word RNN Vanilla,96,0.07285714,2.6446881
Word RNN Vanilla,97,0.07285714,2.6459353
Word RNN Vanilla,98,0.07285714,2.6485465
Word RNN Vanilla,99,0.071428575,2.6462464
Word RNN 2 Layer Vanilla,0,0.07,2.6465094
Word RNN 2 Layer Vanilla,1,0.068571426,2.656666
Word RNN 2 Layer Vanilla,2,0.08142857,2.642588
Word RNN 2 Layer Vanilla,3,0.074285716,2.6395037
Word RNN 2 Layer Vanilla,4,0.071428575,2.6530242
Word RNN 2 Layer Vanilla,5,0.071428575,2.6432326
Word RNN 2 Layer Vanilla,6,0.087142855,2.6374054
Word RNN 2 Layer Vanilla,7,0.071428575,2.639852
Word RNN 2 Layer Vanilla,8,0.07285714,2.6379657
Word RNN 2 Layer Vanilla,9,0.071428575,2.6410704
Word RNN 2 Layer Vanilla,10,0.07285714,2.6363776
Word RNN 2 Layer Vanilla,11,0.07714286,2.6371417
