type,epoch,test accuracy,entropy_cost
GRU Word RNN,61,0.87,0.00020635432
GRU Word RNN,62,0.87,0.0001991398
GRU Word RNN,63,0.87,0.00019214238
GRU Word RNN,64,0.87,0.00018554443
GRU Word RNN,65,0.87,0.0001791755
GRU Word RNN,66,0.87142855,0.00017312604
GRU Word RNN,67,0.87285715,0.00016734083
GRU Word RNN,68,0.87142855,0.00016181059
GRU Word RNN,69,0.87142855,0.00015655675
GRU Word RNN,70,0.87142855,0.00015143384
GRU Word RNN,71,0.87,0.00014656082
GRU Word RNN,72,0.87,0.00014188555
GRU Word RNN,73,0.87,0.00013745457
GRU Word RNN,74,0.87,0.00013314674
GRU Word RNN,75,0.87,0.0001290044
GRU Word RNN,76,0.87,0.00012506531
GRU Word RNN,77,0.87,0.000121236124
GRU Word RNN,78,0.87,0.00011760007
GRU Word RNN,79,0.87,0.000114087794
GRU Word RNN,80,0.87,0.00011072223
GRU Word RNN,81,0.87,0.00010747273
GRU Word RNN,82,0.87,0.00010429889
GRU Word RNN,83,0.87,0.00010126397
GRU Word RNN,84,0.87142855,9.836042e-05
GRU Word RNN,85,0.87285715,9.558442e-05
GRU Word RNN,86,0.87285715,9.2862894e-05
GRU Word RNN,87,0.87285715,9.0235226e-05
GRU Word RNN,88,0.87285715,8.7711414e-05
GRU Word RNN,89,0.87285715,8.525983e-05
GRU Word RNN,90,0.87285715,8.289654e-05
GRU Word RNN,91,0.87285715,8.0613274e-05
GRU Word RNN,92,0.87285715,7.839995e-05
GRU Word RNN,93,0.87285715,7.626616e-05
GRU Word RNN,94,0.87285715,7.419704e-05
GRU Word RNN,95,0.87285715,7.219047e-05
GRU Word RNN,96,0.87285715,7.0245085e-05
GRU Word RNN,97,0.87285715,6.836266e-05
GRU Word RNN,98,0.87285715,6.655789e-05
GRU Word RNN,99,0.8757143,6.478795e-05
LSTM Word RNN,0,0.071428575,2.6472185
LSTM Word RNN,1,0.071428575,2.6460302
LSTM Word RNN,2,0.071428575,2.6419542
LSTM Word RNN,3,0.08,2.6287606
LSTM Word RNN,4,0.071428575,2.6386352
LSTM Word RNN,5,0.09,2.7663968
LSTM Word RNN,6,0.111428574,2.5352006
LSTM Word RNN,7,0.11571429,2.4219158
LSTM Word RNN,8,0.13428572,2.356835
LSTM Word RNN,9,0.122857146,2.38178
LSTM Word RNN,10,0.14571428,2.2753582
LSTM Word RNN,11,0.13,2.0984778
LSTM Word RNN,12,0.16714285,2.0445697
LSTM Word RNN,13,0.21428572,1.821574
LSTM Word RNN,14,0.27857143,1.6267953
LSTM Word RNN,15,0.32428572,1.3025362
LSTM Word RNN,16,0.36571428,1.1995469
LSTM Word RNN,17,0.40428573,0.9487964
LSTM Word RNN,18,0.41285715,0.8895335
LSTM Word RNN,19,0.4857143,0.75086766
LSTM Word RNN,20,0.5114286,0.6519418
LSTM Word RNN,21,0.5257143,0.5427915
LSTM Word RNN,22,0.55142856,0.46018523
LSTM Word RNN,23,0.5942857,0.3233051
LSTM Word RNN,24,0.62142855,0.23991908
LSTM Word RNN,25,0.6457143,0.18547991
LSTM Word RNN,26,0.6614286,0.15446264
LSTM Word RNN,27,0.64428574,0.13748081
LSTM Word RNN,28,0.64285713,0.12899299
