type,epoch,test accuracy,entropy_cost
Vanilla Char RNN w/ GC,82,0.09714286,2.6067426
Vanilla Char RNN w/ GC,83,0.092857145,2.6083093
Vanilla Char RNN w/ GC,84,0.108571425,2.5418463
Vanilla Char RNN w/ GC,85,0.09714286,2.586392
Vanilla Char RNN w/ GC,86,0.114285715,2.5725303
Vanilla Char RNN w/ GC,87,0.09,2.6629646
Vanilla Char RNN w/ GC,88,0.08285714,2.6380224
Vanilla Char RNN w/ GC,89,0.09428571,2.6058042
Vanilla Char RNN w/ GC,90,0.084285714,2.6095595
Vanilla Char RNN w/ GC,91,0.09857143,2.6044445
Vanilla Char RNN w/ GC,92,0.095714286,2.5876336
Vanilla Char RNN w/ GC,93,0.092857145,2.6181602
Vanilla Char RNN w/ GC,94,0.08,2.627633
Vanilla Char RNN w/ GC,95,0.092857145,2.6055534
Vanilla Char RNN w/ GC,96,0.087142855,2.5861304
Vanilla Char RNN w/ GC,97,0.09857143,2.62908
Vanilla Char RNN w/ GC,98,0.10428572,2.6051192
Vanilla Char RNN w/ GC,99,0.08571429,2.608472
LSTM Word RNN,0,0.07,2.6472647
LSTM Word RNN,1,0.071428575,2.6453016
LSTM Word RNN,2,0.074285716,2.6451647
LSTM Word RNN,3,0.071428575,2.6435173
LSTM Word RNN,4,0.071428575,2.642368
LSTM Word RNN,5,0.071428575,2.6428604
LSTM Word RNN,6,0.071428575,2.6425157
LSTM Word RNN,7,0.071428575,2.6401343
LSTM Word RNN,8,0.071428575,2.6409707
LSTM Word RNN,9,0.071428575,2.641051
LSTM Word RNN,10,0.071428575,2.6410363
LSTM Word RNN,11,0.071428575,2.6414688
LSTM Word RNN,12,0.071428575,2.6398065
LSTM Word RNN,13,0.071428575,2.6403697
LSTM Word RNN,14,0.071428575,2.6408453
LSTM Word RNN,15,0.071428575,2.6396558
LSTM Word RNN,16,0.071428575,2.6398134
LSTM Word RNN,17,0.071428575,2.6389852
LSTM Word RNN,18,0.071428575,2.6386302
LSTM Word RNN,19,0.071428575,2.6382554
LSTM Word RNN,20,0.071428575,2.638426
LSTM Word RNN,21,0.071428575,2.6386151
LSTM Word RNN,22,0.071428575,2.6376884
LSTM Word RNN,23,0.071428575,2.6380358
LSTM Word RNN,24,0.071428575,2.635614
LSTM Word RNN,25,0.12714286,2.3099146
LSTM Word RNN,26,0.071428575,2.6644828
LSTM Word RNN,27,0.071428575,2.6447911
LSTM Word RNN,28,0.071428575,2.6412873
LSTM Word RNN,29,0.071428575,2.6411045
LSTM Word RNN,30,0.071428575,2.640282
LSTM Word RNN,31,0.071428575,2.6405714
LSTM Word RNN,32,0.071428575,2.6407983
LSTM Word RNN,33,0.071428575,2.6394873
LSTM Word RNN,34,0.071428575,2.639744
LSTM Word RNN,35,0.071428575,2.6395183
LSTM Word RNN,36,0.071428575,2.639078
LSTM Word RNN,37,0.071428575,2.638206
LSTM Word RNN,38,0.071428575,2.6389391
LSTM Word RNN,39,0.071428575,2.6377015
LSTM Word RNN,40,0.07,2.6380496
LSTM Word RNN,41,0.07,2.6373088
LSTM Word RNN,42,0.071428575,2.6372666
